,132806:304881,132804:305311,132825:304862,132808:306005,132823:305728,132807:305183,132815:304859,132791:305542,132798:305698,132792:305752,132816:305405,132809:305707,132799:305763,132793:305898,132817:304863,132810:304996,132800:306007,132794:305925,132818:304849,132811:305724,132790:305490,132795:305560,132801:304939,132812:305166,132802:305523,132796:304832,132803:305236,132821:305320,132829:305637,132824:305376,132820:304872,132826:305336,132822:304656,132827:304989,132828:305055,132813:305004,132797:305002,132805:304975,132819:305057,132814:305879
James & McGill,8:34 AM,8:46 AM,9:14 AM,9:26 AM,10:06 AM,9:54 AM,10:46 AM,10:34 AM,11:26 AM,11:14 AM,12:11 PM,11:58 AM,12:57 PM,12:43 PM,1:42 PM,1:28 PM,2:27 PM,2:13 PM,3:12 PM,2:58 PM,3:57 PM,3:43 PM,4:42 PM,4:28 PM,5:25 PM,5:12 PM,6:07 PM,5:55 PM,6:51 PM,6:39 PM,7:36 PM,7:24 PM,8:21 PM,8:09 PM,9:06 PM,8:54 PM,9:39 PM,9:51 PM,10:36 PM,10:24 PM
James & Vale,8:34 AM,8:46 AM,9:14 AM,9:26 AM,10:06 AM,9:54 AM,10:46 AM,10:34 AM,11:26 AM,11:14 AM,12:11 PM,11:58 AM,12:57 PM,12:43 PM,1:42 PM,1:28 PM,2:27 PM,2:13 PM,3:12 PM,2:58 PM,3:57 PM,3:43 PM,4:42 PM,4:28 PM,5:25 PM,5:12 PM,6:07 PM,5:55 PM,6:51 PM,6:39 PM,7:36 PM,7:24 PM,8:21 PM,8:09 PM,9:06 PM,8:54 PM,9:39 PM,9:51 PM,10:36 PM,10:24 PM
James & Limbrick,8:34 AM,8:46 AM,9:14 AM,9:26 AM,10:06 AM,9:54 AM,10:46 AM,10:34 AM,11:26 AM,11:14 AM,12:11 PM,11:58 AM,12:57 PM,12:43 PM,1:42 PM,1:28 PM,2:27 PM,2:13 PM,3:12 PM,2:58 PM,3:57 PM,3:43 PM,4:42 PM,4:28 PM,5:25 PM,5:12 PM,6:07 PM,5:55 PM,6:51 PM,6:39 PM,7:36 PM,7:24 PM,8:21 PM,8:09 PM,9:06 PM,8:54 PM,9:39 PM,9:51 PM,10:36 PM,10:24 PM
James & Lambton,8:35 AM,8:45 AM,9:15 AM,9:25 AM,10:05 AM,9:55 AM,10:45 AM,10:35 AM,11:25 AM,11:15 AM,12:10 PM,11:59 AM,12:56 PM,12:44 PM,1:41 PM,1:29 PM,2:26 PM,2:14 PM,3:11 PM,2:59 PM,3:56 PM,3:44 PM,4:41 PM,4:29 PM,5:24 PM,5:13 PM,6:06 PM,5:56 PM,6:50 PM,6:40 PM,7:35 PM,7:25 PM,8:20 PM,8:10 PM,9:05 PM,8:55 PM,9:40 PM,9:50 PM,10:35 PM,10:25 PM
James & Sheridan,8:36 AM,8:44 AM,9:16 AM,9:24 AM,10:04 AM,9:56 AM,10:44 AM,10:36 AM,11:24 AM,11:16 AM,12:09 PM,12:00 PM,12:55 PM,12:45 PM,1:40 PM,1:30 PM,2:25 PM,2:15 PM,3:10 PM,3:00 PM,3:55 PM,3:45 PM,4:40 PM,4:30 PM,5:23 PM,5:14 PM,6:05 PM,5:57 PM,6:49 PM,6:41 PM,7:34 PM,7:26 PM,8:19 PM,8:11 PM,9:04 PM,8:56 PM,9:41 PM,9:49 PM,10:34 PM,10:26 PM
James & Conestoga,8:36 AM,8:44 AM,9:16 AM,9:24 AM,10:04 AM,9:56 AM,10:44 AM,10:36 AM,11:24 AM,11:16 AM,12:09 PM,12:00 PM,12:55 PM,12:45 PM,1:40 PM,1:30 PM,2:25 PM,2:15 PM,3:10 PM,3:00 PM,3:55 PM,3:45 PM,4:40 PM,4:30 PM,5:23 PM,5:14 PM,6:05 PM,5:57 PM,6:49 PM,6:41 PM,7:34 PM,7:26 PM,8:19 PM,8:11 PM,9:04 PM,8:56 PM,9:41 PM,9:49 PM,10:34 PM,10:26 PM
James & Brecia,8:36 AM,8:44 AM,9:16 AM,9:24 AM,10:04 AM,9:56 AM,10:44 AM,10:36 AM,11:24 AM,11:16 AM,12:09 PM,12:01 PM,12:54 PM,12:46 PM,1:39 PM,1:31 PM,2:24 PM,2:16 PM,3:09 PM,3:01 PM,3:54 PM,3:46 PM,4:39 PM,4:31 PM,5:22 PM,5:14 PM,6:05 PM,5:57 PM,6:49 PM,6:41 PM,7:34 PM,7:26 PM,8:19 PM,8:11 PM,9:04 PM,8:56 PM,9:41 PM,9:49 PM,10:34 PM,10:26 PM
Confederation College (Arrival),8:40 AM,8:40 AM,9:20 AM,9:20 AM,10:00 AM,10:00 AM,10:40 AM,10:40 AM,11:20 AM,11:20 AM,12:05 PM,12:05 PM,12:50 PM,12:50 PM,1:35 PM,1:35 PM,2:20 PM,2:20 PM,3:05 PM,3:05 PM,3:50 PM,3:50 PM,4:35 PM,4:35 PM,5:18 PM,5:18 PM,6:01 PM,6:01 PM,6:45 PM,6:45 PM,7:30 PM,7:30 PM,8:15 PM,8:15 PM,9:00 PM,9:00 PM,9:45 PM,9:45 PM,10:30 PM,10:30 PM
Confederation College (Departure),,8:40 AM,,9:20 AM,10:00 AM,10:05 AM,10:35 AM,10:45 AM,11:15 AM,11:25 AM,12:00 PM,12:10 PM,12:45 PM,12:55 PM,1:30 PM,1:40 PM,2:15 PM,2:25 PM,3:00 PM,3:10 PM,3:45 PM,3:55 PM,4:30 PM,4:40 PM,5:13 PM,5:23 PM,5:56 PM,,6:45 PM,,7:30 PM,,8:15 PM,,9:00 PM,,,9:45 PM,10:30 PM,
Sibley Residence,,,,,,10:06 AM,10:34 AM,10:46 AM,11:14 AM,11:26 AM,11:59 AM,12:11 PM,12:44 PM,12:56 PM,1:29 PM,1:41 PM,2:14 PM,2:26 PM,2:59 PM,3:11 PM,3:44 PM,3:56 PM,4:29 PM,4:41 PM,5:12 PM,5:24 PM,5:55 PM,,,,,,,,,,,,,
William & Balmoral,,,,,,10:09 AM,10:31 AM,10:49 AM,11:11 AM,11:29 AM,11:56 AM,12:12 PM,12:43 PM,12:57 PM,1:28 PM,1:42 PM,2:13 PM,2:27 PM,2:58 PM,3:12 PM,3:43 PM,3:57 PM,4:28 PM,4:42 PM,5:11 PM,5:25 PM,5:54 PM,,,,,,,,,,,,,
Balmoral & Hewitson,,,,,,10:10 AM,10:30 AM,10:50 AM,11:10 AM,11:30 AM,11:55 AM,12:14 PM,12:41 PM,12:59 PM,1:26 PM,1:44 PM,2:11 PM,2:29 PM,2:56 PM,3:14 PM,3:41 PM,3:59 PM,4:26 PM,4:44 PM,5:09 PM,5:27 PM,5:52 PM,,,,,,,,,,,,,
Alloy & Cobalt,,,,,,10:12 AM,10:28 AM,10:52 AM,11:08 AM,11:32 AM,11:53 AM,12:15 PM,12:40 PM,1:00 PM,1:25 PM,1:45 PM,2:10 PM,2:30 PM,2:55 PM,3:15 PM,3:40 PM,4:00 PM,4:25 PM,4:45 PM,5:08 PM,5:28 PM,5:51 PM,,,,,,,,,,,,,
Alloy & Tungsten,,,,,,10:13 AM,10:27 AM,10:53 AM,11:07 AM,11:33 AM,11:52 AM,12:15 PM,12:40 PM,1:00 PM,1:25 PM,1:45 PM,2:10 PM,2:30 PM,2:55 PM,3:15 PM,3:40 PM,4:00 PM,4:25 PM,4:45 PM,5:08 PM,5:28 PM,5:51 PM,,,,,,,,,,,,,
Tungsten & Alloy,,,,,,10:15 AM,10:25 AM,10:55 AM,11:05 AM,11:35 AM,11:50 AM,12:17 PM,12:38 PM,1:02 PM,1:23 PM,1:47 PM,2:08 PM,2:32 PM,2:53 PM,3:17 PM,3:38 PM,4:02 PM,4:23 PM,4:47 PM,5:06 PM,5:30 PM,5:49 PM,,,,,,,,,,,,,
Tungsten & Cobalt,,,,,,10:15 AM,10:25 AM,10:55 AM,11:05 AM,11:35 AM,11:50 AM,12:17 PM,12:38 PM,1:02 PM,1:23 PM,1:47 PM,2:08 PM,2:32 PM,2:53 PM,3:17 PM,3:38 PM,4:02 PM,4:23 PM,4:47 PM,5:06 PM,5:30 PM,5:49 PM,,,,,,,,,,,,,
Central & Tungsten,,,,,,10:15 AM,10:25 AM,10:55 AM,11:05 AM,11:35 AM,11:50 AM,12:17 PM,12:38 PM,1:02 PM,1:23 PM,1:47 PM,2:08 PM,2:32 PM,2:53 PM,3:17 PM,3:38 PM,4:02 PM,4:23 PM,4:47 PM,5:06 PM,5:30 PM,5:49 PM,,,,,,,,,,,,,
Central & Carrick,,,,,,10:15 AM,10:25 AM,10:55 AM,11:05 AM,11:35 AM,11:50 AM,12:18 PM,12:37 PM,1:03 PM,1:22 PM,1:48 PM,2:07 PM,2:33 PM,2:52 PM,3:18 PM,3:37 PM,4:03 PM,4:22 PM,4:48 PM,5:05 PM,5:31 PM,5:48 PM,,,,,,,,,,,,,
