route_id,service_id,trip_id,trip_headsign,shape_id
9,300106,135627:300106,JUNOT to Waterfront,3261
3M,300109,135351:300109,MEMORIAL to County Park,3279
10,300112,135516:300112,NORTHWOOD to County Park,3100
5,300114,132563:300114,EDWARD to Waterfront,3119
9,300116,133961:300116,JUNOT to Waterfront,3096
5,300118,135616:300118,EDWARD to Waterfront,3119
3M,300124,135420:300124,MEMORIAL to Northwood,3149
9,300125,133956:300125,JUNOT to Waterfront,3261
5,300126,134307:300126,EDWARD to Waterfront,3119
14,300129,134359:300129,ARTHUR to Jumbo Gardens,3288
3J,300134,134913:300134,JUMBO GARDENS to Sherwood Dr.,3287
12,300135,135561:300135,to City Hall,3244
1,300136,135063:300136,MAINLINE to Westfort,3130
12,300137,134726:300137,to City Hall,3244
3C,300138,134996:300138,COUNTY PARK to Northwood,3271
3M,300141,138914:300141,MEMORIAL to City Hall,3126
13,300145,139118:300145,JOHN-JUMBO to Waterfront,3223
1,300147,138863:300147,MAINLINE to City Hall,3114
7,300150,138736:300150,HUDSON to Waterfront,3172
5,300151,134872:300151,EDWARD to Waterfront,3119
1,300153,135608:300153,MAINLINE to Westfort,3130
3M,300158,138911:300158,MEMORIAL to Northwood,3149
7,300159,134065:300159,HUDSON to Waterfront,3172
3M,300162,135676:300162,MEMORIAL to Northwood,3149
2,300165,133879:300165,CROSSTOWN to Waterfront,3128
10,300167,134413:300167,NORTHWOOD to County Park,3100
12,300173,135596:300173,to City Hall,3244
13,300174,139110:300174,JOHN-JUMBO to Waterfront,3223
1,300180,138823:300180,MAINLINE to Westfort,3130
5,300183,134833:300183,EDWARD to Westfort,3136
7,300184,132764:300184,HUDSON to Waterfront,3172
16,300187,135524:300187,BALMORAL to City Hall,3166
3J,300190,134905:300190,JUMBO GARDENS to Sherwood Dr.,3287
16,300195,134484:300195,BALMORAL to College,3152
3M,300200,135352:300200,MEMORIAL to Jumbo Gardens,3281
9,300201,135140:300201,JUNOT to Intercity,3260
1,300202,132685:300202,MAINLINE to Westfort,3132
14,300203,134391:300203,ARTHUR to Airport,3145
7,300206,138740:300206,HUDSON to Waterfront,3172
7,300211,132766:300211,HUDSON to Waterfront,3172
14,300212,134746:300212,ARTHUR to Jumbo Gardens,3288
7,300216,135257:300216,HUDSON to Waterfront,3172
7,300228,134064:300228,HUDSON to Waterfront,3172
3M,300230,138941:300230,MEMORIAL to City Hall,3126
10,300237,134416:300237,NORTHWOOD to County Park,3100
9,300238,133955:300238,JUNOT to Waterfront,3261
3M,300239,135359:300239,MEMORIAL to County Park,3279
3J,300241,135729:300241,JUMBO GARDENS to Sherwood Dr.,3287
3M,300242,138949:300242,MEMORIAL to City Hall,3126
10,300248,135521:300248,NORTHWOOD to County Park,3100
9,300251,133962:300251,JUNOT to Waterfront,3096
5,300252,134865:300252,EDWARD to Westfort,3136
3M,300253,135384:300253,MEMORIAL to Airport,3277
1,300255,132684:300255,MAINLINE to City Hall,3272
3M,300257,138930:300257,MEMORIAL to Northwood,3149
1,300263,134119:300263,MAINLINE to Westfort,3130
3M,300264,135428:300264,MEMORIAL to City Hall,3126
7,300267,138741:300267,HUDSON to Waterfront,3172
7,300269,134069:300269,HUDSON to Waterfront,3172
1,300270,135042:300270,MAINLINE to Westfort,3130
14,300275,134394:300275,ARTHUR to Airport,3145
7,300284,138739:300284,HUDSON to Waterfront,3172
2,300286,133887:300286,CROSSTOWN to Waterfront,3262
3M,300287,138923:300287,MEMORIAL to Northwood,3149
14,300290,139046:300290,ARTHUR to City Hall,3243
3M,300291,135571:300291,MEMORIAL to County Park,3279
1,300293,132689:300293,MAINLINE to City Hall,3114
3C,300295,138994:300295,COUNTY PARK to Northwood,3271
1,300297,138826:300297,MAINLINE to Westfort,3130
1,300300,138856:300300,MAINLINE to City Hall,3114
14,300305,134387:300305,ARTHUR to Airport,3145
2,300310,138809:300310,CROSSTOWN to Waterfront,3262
10,300311,134934:300311,NORTHWOOD to County Park,3100
7,300312,135241:300312,HUDSON to Waterfront,3172
5,300314,134305:300314,EDWARD to Waterfront,3119
9,300315,133957:300315,JUNOT to Waterfront,3096
5,300321,134836:300321,EDWARD to Westfort,3136
7,300322,138747:300322,HUDSON to Waterfront,3172
2,300326,133896:300326,CROSSTOWN to Waterfront,3262
3M,300327,135710:300327,MEMORIAL to Northwood,3278
3M,300329,135365:300329,MEMORIAL to County Park,3279
14,300331,134370:300331,ARTHUR to City Hall,3243
3J,300335,134907:300335,JUMBO GARDENS to Sherwood Dr.,3287
2,300337,133893:300337,CROSSTOWN to Waterfront,3262
16,300338,134681:300338,BALMORAL to City Hall,3166
10,300345,134931:300345,NORTHWOOD to County Park,3100
3C,300353,135011:300353,COUNTY PARK to Castlegreen Dr,3168
9,300357,138665:300357,JUNOT to Waterfront,3261
10,300358,134932:300358,NORTHWOOD to County Park,3100
3M,300359,138916:300359,MEMORIAL to City Hall,3126
10,300361,139091:300361,NORTHWOOD to College,3264
5,300362,134295:300362,EDWARD to Waterfront,3119
3M,300363,138917:300363,MEMORIAL to Northwood,3149
1,300365,132697:300365,MAINLINE to City Hall,3114
3C,300366,135010:300366,COUNTY PARK to Castlegreen Dr,3168
3M,300369,135425:300369,MEMORIAL to Waterfront,3179
3M,300370,135585:300370,MEMORIAL to County Park,3279
2,300373,133890:300373,CROSSTOWN to Waterfront,3262
3M,300374,135594:300374,MEMORIAL to Jumbo Gardens,3281
2,300380,138793:300380,CROSSTOWN to Waterfront,3262
14,300391,134357:300391,ARTHUR to Jumbo Gardens,3288
16,300396,134488:300396,BALMORAL to College,3152
12,300401,134721:300401,to City Hall,3244
3M,300404,135372:300404,MEMORIAL to Jumbo Gardens,3281
1,300405,134117:300405,MAINLINE to Westfort,3130
5,300408,134848:300408,EDWARD to Waterfront,3119
3M,300414,135405:300414,MEMORIAL to Northwood,3278
3M,300415,135363:300415,MEMORIAL to County Park,3279
10,300420,132423:300420,NORTHWOOD to County Park,3100
5,300424,132560:300424,EDWARD to Waterfront,3119
10,300428,134440:300428,NORTHWOOD to College,3264
10,300432,132434:300432,NORTHWOOD to College,3264
7,300436,138743:300436,HUDSON to Waterfront,3172
16,300437,135514:300437,BALMORAL to City Hall,3166
2,300443,133923:300443,CROSSTOWN to Westfort,3113
13,300445,139127:300445,JOHN-JUMBO to Waterfront,3223
3M,300448,135404:300448,MEMORIAL to Airport,3277
16,300451,134682:300451,BALMORAL to City Hall,3166
14,300452,135499:300452,ARTHUR to Jumbo Gardens,3288
3M,300455,138948:300455,MEMORIAL to Waterfront,3179
3C,300457,139002:300457,COUNTY PARK to Northwood,3271
3M,300458,135386:300458,MEMORIAL to Airport,3277
3M,300465,138924:300465,MEMORIAL to City Hall,3126
11,300467,134822:300467,JOHN to Waterfront,3280
3C,300470,134998:300470,COUNTY PARK to Northwood,3271
14,300485,132456:300485,ARTHUR to City Hall,3243
7,300486,134055:300486,HUDSON to Waterfront,3172
12,300488,134714:300488,to City Hall,3244
16,300489,134486:300489,BALMORAL to College,3152
10,300491,139106:300491,NORTHWOOD to College,3264
3M,300492,138932:300492,MEMORIAL to Northwood,3149
2,300493,133880:300493,CROSSTOWN to Waterfront,3128
7,300494,132767:300494,HUDSON to Waterfront,3172
2,300499,133881:300499,CROSSTOWN to Waterfront,3128
