service_id,date,exception_type
303202,20220301,1
303202,20220302,1
303202,20220303,1
303202,20220304,1
305146,20220126,1
305146,20220127,1
305146,20220128,1
305146,20220131,1
305146,20220201,1
305146,20220202,1
305146,20220203,1
305146,20220204,1
305146,20220207,1
305146,20220208,1
305146,20220209,1
305146,20220210,1
305146,20220211,1
305146,20220214,1
305146,20220215,1
305146,20220216,1
305146,20220217,1
305146,20220218,1
305146,20220222,1
305146,20220223,1
305146,20220224,1
305146,20220225,1
305146,20220228,1
305146,20220301,1
305146,20220302,1
305146,20220303,1
305146,20220304,1
303549,20220126,1
303549,20220127,1
303549,20220128,1
303549,20220131,1
303549,20220201,1
303549,20220202,1
303549,20220203,1
303549,20220204,1
303549,20220207,1
303549,20220208,1
303549,20220209,1
303549,20220210,1
303549,20220211,1
303549,20220214,1
303549,20220215,1
303549,20220216,1
303549,20220217,1
303549,20220218,1
303549,20220222,1
303549,20220223,1
303549,20220224,1
303549,20220225,1
303549,20220228,1
303549,20220301,1
303549,20220302,1
303549,20220303,1
303549,20220304,1
305103,20220126,1
305103,20220127,1
305103,20220128,1
305103,20220131,1
305103,20220201,1
305103,20220202,1
305103,20220203,1
305103,20220204,1
305103,20220207,1
305103,20220208,1
305103,20220209,1
305103,20220210,1
305103,20220211,1
305103,20220214,1
305103,20220215,1
305103,20220216,1
305103,20220217,1
305103,20220218,1
305103,20220222,1
305103,20220223,1
305103,20220224,1
305103,20220225,1
305103,20220228,1
305103,20220301,1
305103,20220302,1
305103,20220303,1
305103,20220304,1
304992,20220129,1
304992,20220205,1
304992,20220212,1
304992,20220219,1
304992,20220226,1
304992,20220305,1
299433,20220129,1
299433,20220205,1
299433,20220212,1
299433,20220219,1
299433,20220226,1
299433,20220305,1
305725,20220129,1
305725,20220205,1
305725,20220212,1
305725,20220219,1
305725,20220226,1
305725,20220305,1
304683,20220129,1
304683,20220205,1
304683,20220212,1
304683,20220219,1
304683,20220226,1
304683,20220305,1
299838,20220129,1
299838,20220205,1
299838,20220212,1
299838,20220219,1
299838,20220226,1
299838,20220305,1
304655,20220129,1
304655,20220205,1
304655,20220212,1
304655,20220219,1
304655,20220226,1
304655,20220305,1
304767,20220129,1
304767,20220205,1
304767,20220212,1
304767,20220219,1
304767,20220226,1
304767,20220305,1
299806,20220129,1
299806,20220205,1
299806,20220212,1
299806,20220219,1
299806,20220226,1
299806,20220305,1
304711,20220129,1
304711,20220205,1
304711,20220212,1
304711,20220219,1
304711,20220226,1
304711,20220305,1
305831,20220129,1
305831,20220205,1
305831,20220212,1
305831,20220219,1
305831,20220226,1
305831,20220305,1
303009,20220129,1
303009,20220205,1
303009,20220212,1
303009,20220219,1
303009,20220226,1
303009,20220305,1
305412,20220129,1
305412,20220205,1
305412,20220212,1
305412,20220219,1
305412,20220226,1
305412,20220305,1
304934,20220129,1
304934,20220205,1
304934,20220212,1
304934,20220219,1
304934,20220226,1
304934,20220305,1
303451,20220129,1
303451,20220205,1
303451,20220212,1
303451,20220219,1
303451,20220226,1
303451,20220305,1
305149,20220129,1
305149,20220205,1
305149,20220212,1
305149,20220219,1
305149,20220226,1
305149,20220305,1
305399,20220129,1
305399,20220205,1
305399,20220212,1
305399,20220219,1
305399,20220226,1
305399,20220305,1
303375,20220129,1
303375,20220205,1
303375,20220212,1
303375,20220219,1
303375,20220226,1
303375,20220305,1
304788,20220129,1
304788,20220205,1
304788,20220212,1
304788,20220219,1
304788,20220226,1
304788,20220305,1
305382,20220129,1
305382,20220205,1
305382,20220212,1
305382,20220219,1
305382,20220226,1
305382,20220305,1
303207,20220129,1
303207,20220205,1
303207,20220212,1
303207,20220219,1
303207,20220226,1
303207,20220305,1
305993,20220129,1
305993,20220205,1
305993,20220212,1
305993,20220219,1
305993,20220226,1
305993,20220305,1
304717,20220129,1
304717,20220205,1
304717,20220212,1
